Price1,Price2,Price3,Price4,Date
113.56328748587535,90.21424171912419,87.90269021630878,86.01921177879014,2023-03-02
113.59874397710014,90.26213454551441,87.9347865758066,86.10040260293877,2023-03-03
113.55717107125561,90.24317697850496,87.92074689348165,86.07537817543422,2023-03-04
113.5833749401662,90.28331118555747,87.9462143825118,86.10619165297425,2023-03-05
113.52729042085778,90.22476540237707,87.90478574384625,86.03696016832596,2023-03-06
113.59775570263999,90.25080412880232,87.92549187893613,86.07456723181431,2023-03-07
113.57984419814086,90.26262872435169,87.93570701808233,86.10668076295298,2023-03-08
113.58471872249336,90.25596867157186,87.92621316319446,86.07548839591796,2023-03-09
113.59160106668769,90.27193590181102,87.93508648997242,86.08677996208141,2023-03-10
113.579494059519,90.24037683642523,87.9273030973505,86.0886993417152,2023-03-11
113.63306741753121,90.26981210418201,87.96412182986928,86.09357303896968,2023-03-12
113.54737148618715,90.24417871509691,87.91731523966885,86.06935775121988,2023-03-13
113.55712340255376,90.25783180443962,87.91737760050421,86.07719407300985,2023-03-14
113.58552737178509,90.25648334632369,87.92100077687083,86.08732032953712,2023-03-15
113.58951916312688,90.25445958709984,87.91832804802968,86.09162948818576,2023-03-16
113.55492019564646,90.22652200235278,87.91546872846365,86.06498167315222,2023-03-17
113.59433624134181,90.25420313063715,87.93165183564946,86.0678389107257,2023-03-18
113.57528728432017,90.26079407714951,87.92848554384594,86.07421600738375,2023-03-19
113.59975840951115,90.26275700109117,87.937652825744,86.09139636854844,2023-03-20
113.55984174756787,90.2423505236329,87.91233289833286,86.05564676593441,2023-03-21
113.56566774394535,90.24484716969067,87.91633082605657,86.06176928140698,2023-03-22
113.5785649884064,90.26801496545922,87.93132767074623,86.09181490801761,2023-03-23
113.64915741608634,90.27342972508143,87.9594495297209,86.0946020624621,2023-03-24
113.59166473852322,90.26424286042344,87.93607440167776,86.08611001318151,2023-03-25
113.63385995644488,90.25861237732516,87.92706036634844,86.05031516475202,2023-03-26
113.58358118185372,90.24763149114177,87.92867984117659,86.07626650785974,2023-03-27
113.57716550097788,90.26840260922492,87.93524566946355,86.09341740428295,2023-03-28
113.57145811657945,90.25270373203756,87.9202428158038,86.07767949305743,2023-03-29
113.64638244609566,90.28215619413203,87.96529032750573,86.14585405618169,2023-03-30
113.56421461349733,90.24515359413432,87.93049178648839,86.05090199231239,2023-03-31
113.57545687435557,90.23962805357134,87.91200586640441,86.05052938066672,2023-04-01
113.56188544723868,90.2533207359525,87.92312370874023,86.04830480560166,2023-04-02
113.57539665940281,90.25768595835268,87.92183475466486,86.06944103040132,2023-04-03
113.5916043307612,90.25812188995086,87.94301011722668,86.09375448975328,2023-04-04
113.57183215959883,90.24298354780271,87.9224225948572,86.07458651352334,2023-04-05
113.54031657308154,90.21815862693828,87.9110053027218,86.03672487679607,2023-04-06
113.59531088870828,90.28083646420214,87.92906547054959,86.05924547149318,2023-04-07
113.571056655084,90.2592423813449,87.92918766334591,86.08791889693416,2023-04-08
113.50128968746539,90.20463862969622,87.87740468816169,86.03291383323503,2023-04-09
113.6109918512009,90.26008688307692,87.93603257880764,86.0830888783166,2023-04-10
113.57063956465494,90.23504603420135,87.91752618525145,86.06024675750132,2023-04-11
113.58386665148493,90.25220664639171,87.93432541289545,86.07973694036336,2023-04-12
113.55903393699053,90.25801214754604,87.92605570335895,86.0773009915889,2023-04-13
113.51977508020848,90.21499594606539,87.89823386538117,86.03484141075369,2023-04-14
113.53088017405423,90.20984730974473,87.89693421593718,86.0344196072202,2023-04-15
113.50319039350273,90.22151516399667,87.8861875636558,86.03369611254332,2023-04-16
113.60300437679619,90.24747045051758,87.92406744352104,86.06623583378457,2023-04-17
113.57368669035482,90.24674890860773,87.92152393656608,86.07391337429056,2023-04-18
113.57445068268561,90.25311346946653,87.91985525396714,86.05686406604806,2023-04-19
113.54252139755762,90.26926756050533,87.95460673624885,86.09853076754231,2023-04-20
113.6161965812208,90.28132003267685,87.95458117415141,86.12417925365092,2023-04-21
113.60426044142974,90.26635348315835,87.92053595827979,86.07178569388041,2023-04-22
113.55575299716097,90.24939710822429,87.91920469179085,86.08861612269331,2023-04-23
113.57192514588182,90.2608454656158,87.92524765411115,86.07457443155405,2023-04-24
113.57458423983313,90.23936699656632,87.92528002507372,86.0321823803889,2023-04-25
113.59011762689705,90.27215661159656,87.91619631447469,86.07159912835775,2023-04-26
113.58874476794574,90.26435171137702,87.93195580346571,86.08364723019251,2023-04-27
113.55015626716134,90.25580420673656,87.92546111268834,86.08811554496417,2023-04-28
113.54473691041729,90.25220988985818,87.9119175982133,86.04266670418119,2023-04-29
113.56987402744058,90.26467706314584,87.9183195756601,86.07820269774656,2023-04-30
113.60346886117075,90.26744127880137,87.95177101089017,86.080622860679,2023-05-01
