Price1,Price2,Price3,Date
102.82641160330972,94.65019515583623,98.74315889716925,2023-04-12
,94.7909480480292,100.02290087227175,2023-04-13
102.78590733753448,,,2023-04-14
102.84725764607113,96.05642781659891,98.54187578237318,2023-04-15
102.8182151823933,94.86136558889999,97.983723425238,2023-04-16
,,98.45897804566252,2023-04-17
102.82900536087999,94.10802380295718,98.65007087700151,2023-04-18
102.92004376670565,94.20600442869073,,2023-04-19
102.84820756217239,94.61111417547251,99.88393640805212,2023-04-20
102.64265284151845,96.23473018823708,99.90411612695875,2023-04-21
102.7542352001451,95.42881900871333,97.96465753511224,2023-04-22
102.86834872444985,93.23325016457922,98.7286561396162,2023-04-23
102.91776403908251,94.4846471017255,98.8325563715712,2023-04-24
102.89325259152105,92.94782855653531,100.99100146373986,2023-04-25
102.83620915135269,95.48884504091744,98.75788327910658,2023-04-26
102.78408378920214,94.71078428610744,100.12527532882913,2023-04-27
102.90080098885505,95.22555813188185,99.50812200122566,2023-04-28
102.87652180305683,96.94704855481905,100.6119101216146,2023-04-29
102.82404941404204,92.08913800771424,98.08727669456121,2023-04-30
103.0225705495674,95.96477091929538,100.13985692010976,2023-05-01
